idx,AirGap_pred,AirGap_gt,err
749,695.6857,648.0,47.68573
750,697.2834,649.0,48.283386
751,698.6961,650.0,48.696106
752,695.3856,650.0,45.38562
753,696.42175,649.0,47.421753
754,697.48846,648.0,49.488464
755,697.3752,648.0,49.375183
756,696.3993,648.0,48.399292
757,696.3696,649.0,47.36963
758,697.3009,650.0,47.300903
759,698.1001,649.0,49.100098
760,694.13477,650.0,44.134766
761,695.2072,650.0,45.207214
762,696.9441,649.0,47.94409
763,698.13745,648.0,50.13745
764,697.6387,650.0,47.63867
765,696.4895,650.0,46.489502
766,696.5168,648.0,48.516785
767,697.35156,648.0,49.351562
768,694.9252,648.0,46.92517
769,696.02136,648.0,48.021362
770,697.95807,648.0,49.95807
771,698.5426,650.0,48.542603
772,697.5197,650.0,47.519714
773,695.2644,650.0,45.264404
774,695.7865,650.0,45.7865
775,697.5392,648.0,49.539185
776,694.9637,648.0,46.963684
777,696.5051,649.0,47.505127
778,698.60565,650.0,48.60565
779,699.50244,649.0,50.50244
780,696.65295,648.0,48.652954
781,694.9772,648.0,46.977173
782,695.9314,648.0,47.931396
783,698.0525,648.0,50.05249
784,696.3652,649.0,47.365173
785,696.9584,650.0,46.958374
786,697.76013,650.0,47.76013
787,698.4873,649.0,49.487305
788,696.84973,649.0,47.84973
789,695.6006,648.0,47.600586
790,697.0352,649.0,48.035217
791,699.31506,650.0,49.315063
792,696.07324,650.0,46.073242
793,696.15607,648.0,48.156067
794,698.0271,648.0,50.0271
795,699.65015,648.0,51.650146
796,697.8793,648.0,49.879272
797,695.6603,649.0,46.66028
798,696.96967,650.0,46.969666
799,697.979,650.0,47.979004
800,695.7093,649.0,46.70929
801,695.3539,649.0,46.35388
802,697.53894,648.0,49.53894
803,699.2122,648.0,51.21222
804,697.2425,649.0,48.242493
805,695.86365,650.0,45.863647
806,695.8727,648.0,47.87268
807,697.00037,648.0,49.000366
808,695.4826,648.0,47.482605
809,694.88696,648.0,46.886963
810,698.6717,648.0,50.67169
811,698.89777,649.0,49.897766
812,697.79083,650.0,47.790833
813,694.83685,650.0,44.836853
814,695.3357,649.0,46.335693
815,696.14014,648.0,48.140137
816,695.30615,648.0,47.306152
817,695.568,648.0,47.567993
818,698.37897,649.0,49.378967
819,698.84216,648.0,50.842163
820,696.80084,648.0,48.800842
821,694.8773,648.0,46.87732
822,695.97974,648.0,47.979736
823,697.38403,648.0,49.384033
824,696.01526,648.0,48.01526
825,695.69324,650.0,45.693237
826,697.9674,649.0,48.967407
827,697.9597,649.0,48.959717
828,696.05273,648.0,48.052734
829,695.3058,648.0,47.305786
830,696.7792,648.0,48.779175
831,697.86945,648.0,49.869446
832,695.2319,648.0,47.231873
833,695.2922,648.0,47.292175
834,697.0151,648.0,49.015076
835,698.5714,647.0,51.57141
836,696.4463,648.0,48.44629
837,696.15906,648.0,48.159058
838,696.2114,649.0,47.211426
839,697.89215,650.0,47.89215
840,694.3911,649.0,45.391113
841,694.61084,648.0,46.61084
842,697.20715,648.0,49.207153
843,698.785,648.0,50.784973
844,697.0586,648.0,49.058594
845,696.5687,648.0,48.568726
846,696.5768,648.0,48.576782
847,696.0007,648.0,48.00067
848,694.5864,648.0,46.586426
849,694.75586,648.0,46.75586
850,697.58624,648.0,49.586243
851,698.3125,649.0,49.3125
852,696.3533,650.0,46.35327
853,696.08105,649.0,47.081055
854,695.9464,648.0,47.94641
855,696.2927,648.0,48.292725
856,695.26337,648.0,47.263367
857,695.45483,648.0,47.454834
858,698.0227,649.0,49.022705
859,697.4885,648.0,49.488525
860,695.35785,648.0,47.35785
861,695.6207,648.0,47.620728
862,696.9216,648.0,48.92157
863,697.29285,648.0,49.292847
864,695.8078,648.0,47.8078
865,695.99164,649.0,46.99164
866,698.2042,649.0,49.204224
867,696.9918,648.0,48.99182
868,694.4936,648.0,46.49359
869,695.9751,647.0,48.975098
870,697.7691,647.0,50.769104
